LOCATION CODE,SAMPLE TYPE,SAMPLE LOCATION,SAMPLING FREQUENCY,SAMPLING DATE,ISOTOPE NAME,VALUE,UNITS,GRAPH VALUE,COMMENT
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-01-06,IODINE-131,<8,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-01-06,GROSS BETA,11+/-1.4,pCi/1000M3,11,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-01-15,IODINE-131,<5,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-01-15,TRITIUM (HTO),<80,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-01-15,GROSS ALPHA,<1.3,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-01-15,GROSS BETA,2.2+/-1.3,pCi/L,2.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-01-15,GROSS BETA,18.2+/-1.7,pCi/1000M3,18.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-01-22,IODINE-131,<2,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-01-22,GROSS BETA,12.9+/-1.5,pCi/1000M3,12.9,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-01-29,IODINE-131,<2,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-01-29,GROSS BETA,12.6+/-1.5,pCi/1000M3,12.6,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-01-30,GROSS BETA,2.1+/-1.2,pCi/L,2.1,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-01-30,GROSS ALPHA,<1.3,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-01-30,TRITIUM (HTO),<120,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-02-05,IODINE-131,<0.3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-02-05,GROSS BETA,7.9+/-1.2,pCi/1000M3,7.9,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-02-05,GROSS ALPHA,<1.1,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-02-05,GROSS BETA,<0.7,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-02-05,TRITIUM (HTO),<120,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-02-12,IODINE-131,<5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-02-12,GROSS BETA,20+/-2,pCi/1000M3,20,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-02-18,IODINE-131,<4,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-02-18,GROSS BETA,21+/-2,pCi/1000M3,21,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-02-25,IODINE-131,<5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-02-25,GROSS BETA,26+/-2,pCi/1000M3,26,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-02-27,GROSS BETA,1.4+/-1.4,pCi/L,1.4,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-02-27,GROSS ALPHA,<1.7,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-02-27,TRITIUM (HTO),<100,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-03-04,IODINE-131,<0.5,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-03-04,TRITIUM (HTO),<100,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-03-04,GROSS BETA,<0.4,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-03-04,GROSS ALPHA,<1.1,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-03-04,GROSS BETA,20+/-2,pCi/1000M3,20,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-03-12,IODINE-131,<10,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-03-12,GROSS BETA,13+/-1.5,pCi/1000M3,13,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-03-17,IODINE-131,<9,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-03-17,GROSS BETA,8.3+/-1.4,pCi/1000M3,8.3,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-03-26,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-03-26,GROSS BETA,12.2+/-1.3,pCi/1000M3,12.2,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-03-31,GROSS BETA,1.6+/-1.4,pCi/L,1.6,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-03-31,GROSS ALPHA,<0.05,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-03-31,TRITIUM (HTO),<90,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-04-02,IODINE-131,<8,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-04-02,GROSS BETA,<1.5,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-04-02,GROSS ALPHA,<0.05,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-04-02,GROSS BETA,10+/-1.3,pCi/1000M3,10,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-04-02,TRITIUM (HTO),<90,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-04-09,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-04-09,GROSS BETA,12.2+/-1.5,pCi/1000M3,12.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-04-16,IODINE-131,<0.8,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-04-16,GROSS BETA,6.4+/-1,pCi/1000M3,6.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-04-23,IODINE-131,<6,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-04-23,GROSS BETA,7.5+/-1.2,pCi/1000M3,7.5,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-04-30,IODINE-131,<0.3,pCi/1000M3,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-04-30,TRITIUM (HTO),<70,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-04-30,GROSS BETA,1.9+/-0.6,pCi/1000M3,1.9,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-04-30,GROSS BETA,2.7+/-1.6,pCi/L,2.7,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-04-30,GROSS ALPHA,<1.2,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-05-07,IODINE-131,<20,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-05-07,GROSS BETA,9.2+/-1.3,pCi/1000M3,9.2,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-05-07,GROSS BETA,<3,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-05-07,TRITIUM (HTO),<70,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-05-07,GROSS ALPHA,<3,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-05-14,IODINE-131,<1.9,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-05-14,GROSS BETA,10.2+/-1.3,pCi/1000M3,10.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-05-21,IODINE-131,<7,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-05-21,GROSS BETA,11.4+/-1.4,pCi/1000M3,11.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-05-27,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-05-27,GROSS BETA,13.3+/-1.6,pCi/1000M3,13.3,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-05-29,GROSS ALPHA,<2,pCi/L,0,
